Unnamed: 0,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
lift,-50.5128212,-55.6570816,-24.30702972,-30.84630203,2095538644
lift,-50.17977524,-55.19730759,-25.41894722,-31.91883278,2095555311
lift,-49.79851532,-54.75682831,-25.33142853,-31.94746971,2095571978
lift,-49.31230927,-54.34686661,-29.61236382,-31.77008629,2095588645
lift,-48.82791519,-53.89439392,-30.01132202,-35.08195496,2095605312
lift,-48.32687378,-53.49346924,-32.2364006,-31.99376488,2095621979
lift,-47.83468246,-53.00087357,-34.15375137,-36.5062294,2095638646
lift,-47.62343216,-52.3925209,-18.92391777,-42.73474884,2095655313
lift,-47.44100952,-51.89761353,-16.58771324,-35.29049683,2095671980
lift,-47.28978348,-51.4794693,-12.37483692,-28.33101845,2095688647
lift,-47.09310532,-51.05584335,-11.25142288,-25.51620483,2095705314
lift,-46.78335571,-50.51509094,-13.97861099,-29.3312912,2095721981
lift,-46.31363678,-49.85961151,-21.05425072,-33.22490311,2095738648
lift,-45.75922775,-49.1662941,-24.12400627,-35.35072708,2095755315
lift,-45.0884552,-48.59067917,-32.29880905,-30.06438637,2095771982
lift,-44.72624588,-48.0749588,-15.72248745,-28.67887878,2095788649
lift,-44.48995972,-47.63101578,-10.33680725,-26.84830284,2095805316
lift,-44.33206558,-47.25876617,-4.986410618,-24.02423096,2095821983
lift,-44.19594574,-46.93079758,-2.476608753,-22.10946274,2095838650
lift,-44.03426743,-46.63965225,-3.550344944,-20.00807953,2095855317
lift,-43.91244888,-46.36039734,-2.761857033,-18.68532944,2095871984
lift,-43.84243011,-46.14525223,-1.514594197,-13.61134052,2095888651
lift,-43.80491257,-46.00040436,-1.416087985,-7.923969746,2095905318
lift,-43.78452682,-45.90917969,-1.908658624,-4.181324959,2095921985
lift,-43.78697586,-45.87205124,-2.111626387,-0.785746396,2095938652
lift,-43.83101273,-45.87662888,-0.154675141,1.341049075,2095955319
lift,-43.88514709,-45.89167404,0.977886617,2.160591364,2095971986
lift,-43.95099258,-45.93158722,2.676188231,3.873734951,2095988653
lift,-44.01815796,-46.08380508,4.151083469,10.74372482,2096005320
lift,-44.0753746,-46.24677277,4.549411297,11.92782211,2096021987
lift,-44.10684204,-46.42189026,4.122179031,13.11282444,2096038654
lift,-44.11724091,-46.56632996,4.860337734,11.75757408,2096055321
lift,-44.14170074,-46.70098114,8.315816879,11.77065086,2096071988
lift,-44.15285492,-46.80325317,10.1993351,10.49352455,2096088655
lift,-44.1727829,-46.88368225,13.97897053,10.53486633,2096105322
lift,-44.24716187,-47.00730896,17.98990059,14.44927406,2096121989
lift,-44.42604446,-47.15210724,24.06389618,16.27024078,2096138656
lift,-44.75722122,-47.3239212,33.9877243,18.29841614,2096155323
lift,-45.11643219,-47.55174255,33.61281586,22.02779579,2096171990
lift,-45.48291779,-47.80057907,33.24856567,23.94489098,2096188657
lift,-45.96207428,-48.1716156,38.11007309,31.1759243,2096205324
lift,-46.40654755,-48.61249161,35.06903458,34.93602371,2096221991
lift,-46.8891449,-49.1203804,36.94161224,38.51422119,2096238658
lift,-47.48638535,-49.70238495,42.13796997,43.31259155,2096255325
lift,-48.08037186,-50.39606857,41.95025635,51.20393372,2096271992
